customer,recency,T,monetary_value,frequency,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud,expected_monetary_value,pred_nb_purchases,pred_revenue
'C1014783484',78,179,27.016643835616435,72,72,72,72,72,72,72,72,72,32.287239570920796,5.315311721373028e-21,1.7161674294209437e-19
'C762865358',106,179,27.17781553398059,102,102,102,102,102,102,102,102,102,31.563184098850332,6.707244787702954e-18,2.1170200203032265e-16
'C20027851',105,179,30.000303030303026,98,98,98,98,98,98,98,98,98,33.097801462066926,1.9695699235449306e-17,6.518843429514845e-16
'C881776576',114,178,32.208136363636356,109,109,109,109,109,109,109,109,109,34.11708373062041,1.0166065095848791e-15,3.468364940860108e-14
'C1555447628',116,179,36.476250000000014,111,111,111,111,111,111,111,111,111,36.41314583157141,1.5941149093479858e-15,5.804673866637046e-14
'C478503155',115,179,28.60308411214952,106,106,106,106,106,106,106,106,106,32.23196135896787,5.031437997417551e-15,1.621731151128052e-13
'C1468001998',106,179,210.42937751004015,82,82,82,82,82,82,82,82,82,117.59977171881899,1.46184683908633e-13,1.7191285456442953e-11
'C1290724680',118,179,33.30627450980391,101,101,101,101,101,101,101,101,101,34.765264555453314,5.556847806157151e-13,1.931852840754437e-11
'C1318366224',124,179,27.02439655172415,115,115,115,115,115,115,115,115,115,31.205433697148607,6.467148911568685e-13,2.018101865695434e-11
'C2095815783',92,177,35.288492063492065,62,62,62,62,62,62,62,62,62,35.920234893484995,8.669012382196081e-13,3.113929610630132e-11
'C226835436',128,179,31.241926229508202,121,121,121,121,121,121,121,121,121,33.46577421542097,3.710929434258642e-12,1.241891265762596e-10
'C1392676510',116,179,29.570271739130416,91,91,91,91,91,91,91,91,91,33.003308355171754,6.021324131670637e-12,1.9872361702396285e-10
'C1791750813',130,179,37.35025641025643,116,116,116,116,116,116,116,116,116,36.89818727860461,1.0920974494889667e-10,4.0296416217730334e-09
'C1215446912',132,179,31.119713114754102,121,121,121,121,121,121,121,121,121,33.396889153635385,1.5317824784314934e-10,5.1156769639657474e-09
'C693907036',134,179,29.470966386554625,118,118,118,118,118,118,118,118,118,32.51004824044974,2.131214120224699e-09,6.928587385923262e-08
'C1192754222',130,179,33.565420560747675,106,106,106,106,106,106,106,106,106,34.86630223178081,2.2015660318095665e-09,7.676046664829471e-08
'C570277915',130,179,30.339000000000013,104,104,104,104,104,104,104,104,104,33.18197818276205,4.006258842952614e-09,1.329355935213512e-07
'C2052617893',137,179,30.778253968253985,125,125,125,125,125,125,125,125,125,33.16004685991939,5.051915932863091e-09,1.6752176906611348e-07
'C964123988',101,179,41.42942424242424,54,54,54,54,54,54,54,54,54,38.20002527805704,1.0088930260172555e-08,3.853973909671462e-07
'C1147973334',126,179,37.70608695652172,91,91,91,91,91,91,91,91,91,37.01232855331109,1.1181835192020428e-08,4.138657579560365e-07
'C1073067421',139,179,29.961484374999998,127,127,127,127,127,127,127,127,127,32.66840015771481,1.9266149230404956e-08,6.293942725571183e-07
'C447736219',131,179,32.40250000000001,101,101,101,101,101,101,101,101,101,34.296370245447584,2.1295540589918012e-08,7.303597446487854e-07
'C1159279360',137,179,31.42870833333333,119,119,119,119,119,119,119,119,119,33.5912002102471,2.2617175305614973e-08,7.597380638811692e-07
'C1331123896',129,179,37.31109375,95,95,95,95,95,95,95,95,95,36.82815139603916,2.817600214735458e-08,1.037670072817899e-06
'C376073938',126,179,34.464831460674155,88,88,88,88,88,88,88,88,88,35.4308541048879,2.983406908851138e-08,1.0570465492301926e-06
'C531109799',129,179,34.7501052631579,94,94,94,94,94,94,94,94,94,35.542855098741114,3.822057129427087e-08,1.3584682273033736e-06
'C1467731939',143,179,31.7825,137,137,137,137,137,137,137,137,137,33.632577355048966,8.780373758338744e-08,2.9530659963356983e-06
'C1190687128',112,179,53.20919354838708,61,61,61,61,61,61,61,61,61,42.99187679545912,1.331419558868289e-07,5.724022563793001e-06
'C1038329920',142,178,28.525413533834584,132,132,132,132,132,132,132,132,132,31.76844484103551,2.081331492715359e-07,6.612066472223799e-06
'C2076671849',108,179,28.035803571428573,55,55,55,55,55,55,55,55,55,33.2669303782892,2.389431811582779e-07,7.948906171959375e-06
'C1819552999',134,179,87.30582524271843,102,102,102,102,102,102,102,102,102,62.90652764925465,1.6032415091404513e-07,1.0085435632317655e-05
'C217572786',106,179,26.794150943396225,52,52,52,52,52,52,52,52,52,32.93143622859657,3.6365833046260137e-07,1.1975791118627054e-05
'C1511148959',144,179,34.40525735294116,135,135,135,135,135,135,135,135,135,35.19713395718247,3.4133413739511945e-07,1.2013983358055347e-05
'C1716617782',127,179,55.0577380952381,83,83,83,83,83,83,83,83,83,45.13260808770055,2.937717126893222e-07,1.3258683576059746e-05
'C1215440829',139,179,31.265478260869564,114,114,114,114,114,114,114,114,114,33.5536616000831,4.0983239253789515e-07,1.3751377411968957e-05
'C2012722039',140,178,30.428181818181816,120,120,120,120,120,120,120,120,120,33.019179064562735,4.666920559844491e-07,1.5409788564559463e-05
'C1629621972',132,179,40.32716312056737,93,93,93,93,93,93,93,93,93,38.32557225863856,4.4018776864628887e-07,1.6870448134622217e-05
'C1651034737',138,179,29.473818181818192,109,109,109,109,109,109,109,109,109,32.64653674549244,6.00656615645645e-07,1.960935827409868e-05
'C1564693206',145,179,35.05536231884058,137,137,137,137,137,137,137,137,137,35.57637424494422,5.877732844511026e-07,2.091084233881248e-05
'C1056640661',145,179,31.417481751824802,136,136,136,136,136,136,136,136,136,33.424488760188545,7.143939521461811e-07,2.3878252623856703e-05
'C1284214182',134,179,31.337371134020636,96,96,96,96,96,96,96,96,96,33.807197567426215,8.006195840162792e-07,2.7066704453188943e-05
'C758426828',124,179,40.93146666666665,74,74,74,74,74,74,74,74,74,38.36546074472582,8.587003722813526e-07,3.294443542424168e-05
'C1004532392',128,179,26.411219512195125,81,81,81,81,81,81,81,81,81,31.73492444922467,1.04660837897397e-06,3.3214037834664435e-05
'C1239184141',102,179,30.491382978723404,46,46,46,46,46,46,46,46,46,34.41272372790043,1.096447008789356e-06,3.773172799575092e-05
'C1914083426',144,179,31.077269230769243,129,129,129,129,129,129,129,129,129,33.29048814296621,1.1433634739423194e-06,3.806312817237744e-05
'C1293338653',140,179,28.010530973451345,112,112,112,112,112,112,112,112,112,31.803421562270568,1.4607755216008419e-06,4.645765972131725e-05
'C137688853',146,179,31.560217391304356,137,137,137,137,137,137,137,137,137,33.500560728204285,1.5059725158453956e-06,5.0450923722085265e-05
'C811638781',141,179,32.00750000000002,115,115,115,115,115,115,115,115,115,33.95162481483648,1.6756389882000216e-06,5.689066625247934e-05
'C1511894714',147,179,28.422394366197196,141,141,141,141,141,141,141,141,141,31.582173222831898,1.8533853597779812e-06,5.853393748116882e-05
'C599638364',141,179,29.48429824561405,113,113,113,113,113,113,113,113,113,32.59086131795855,2.601957303842727e-06,8.480002964478766e-05
'C1193582671',141,179,29.866491228070178,113,113,113,113,113,113,113,113,113,32.79982782138214,2.601957303842727e-06,8.534375156462913e-05
'C1648543319',146,178,33.2628417266187,138,138,138,138,138,138,138,138,138,34.506381278119356,2.71773908684664e-06,9.377934114517809e-05
'C1881495517',141,179,34.86070796460179,112,112,112,112,112,112,112,112,112,35.533704693541964,3.241591559398385e-06,0.0001151857572087404
'C1341159565',146,179,29.351578947368424,132,132,132,132,132,132,132,132,132,32.25168238432734,3.855886892936384e-06,0.00012435883938087506
'C843083567',148,179,32.948226950354595,140,140,140,140,140,140,140,140,140,34.30724368690722,5.73902699617878e-06,0.00019689019768364457
'C228319796',148,179,50.20873239436619,141,141,141,141,141,141,141,141,141,44.6721712123209,4.81705101833925e-06,0.00021518812782973573
'C607766298',147,179,34.08999999999999,134,134,134,134,134,134,134,134,134,35.015063420880026,6.605792480441799e-06,0.00023130224264784197
'C54706398',149,179,31.3773611111111,143,143,143,143,143,143,143,143,143,33.340887033193326,8.87960611709983e-06,0.0002960539444494779
'C1491518488',148,179,30.73992753623189,137,137,137,137,137,137,137,137,137,33.01337956573261,9.699296842446909e-06,0.00032020656818041165
'C2112751068',135,179,33.97179775280899,88,88,88,88,88,88,88,88,88,35.19203555161451,1.299312493755145e-05,0.0004572545147288797
'C1133386558',143,179,32.4558407079646,112,112,112,112,112,112,112,112,112,34.224127470651254,1.5697759007381494e-05,0.0005372421052721882
'C563214866',146,179,34.10630666666666,124,124,124,124,124,124,124,124,124,35.06685047219132,1.7249410902398296e-05,0.0006048825128477877
'C1984083185',150,179,28.18144827586208,144,144,144,144,144,144,144,144,144,31.396306469871604,1.963744551801536e-05,0.0006165432577690168
'C1609197353',142,179,33.98375,107,107,107,107,107,107,107,107,107,35.082874928763516,2.0675171590074795e-05,0.0007253444590253188
'C1648145906',148,179,28.950864661654148,132,132,132,132,132,132,132,132,132,32.01729810265882,2.3208104734530543e-05,0.000743060807683192
'C591563666',128,179,33.12840277777779,71,71,71,71,71,71,71,71,71,34.9543711027577,2.2644185828977876e-05,0.0007915132747858996
'C963460752',149,179,31.138315217391302,137,137,137,137,137,137,137,137,137,33.24998736043037,2.4385429925703292e-05,0.0008108152368082949
'C1671770086',147,179,34.24669291338582,126,126,126,126,126,126,126,126,126,35.13862786154102,2.8041873482747417e-05,0.0009853529568506767
'C1304555023',148,179,38.4646085858586,131,131,131,131,131,131,131,131,131,37.578112925766646,2.7623111312485782e-05,0.0010380243962616127
'C206106585',143,179,30.630366972477056,108,108,108,108,108,108,108,108,108,33.28162308096661,3.569539950507024e-05,0.0011880008320522698
'C1890191192',149,179,28.717407407407403,134,134,134,134,134,134,134,134,134,31.8529567813163,4.035350683013331e-05,0.0012853785090347885
'C2013867948',138,179,25.36418478260868,91,91,91,91,91,91,91,91,91,30.93070873076278,4.429201556300557e-05,0.0013699834324777374
'C743934970',150,179,31.45103571428573,139,139,139,139,139,139,139,139,139,33.41865646245907,4.4113454392222636e-05,0.0014742123777060443
'C342410301',145,179,30.806420289855076,114,114,114,114,114,114,114,114,114,33.301666777267954,5.065757676144119e-05,0.0016869817410533872
'C2017390387',128,179,51.91533333333334,69,69,69,69,69,69,69,69,69,42.94553963649613,4.169219908249045e-05,0.0017904939882297812
'C1478081031',149,178,75.07216312056731,140,140,140,140,140,140,140,140,140,59.54482896560523,3.2434227590200525e-05,0.0019312905344900046
'C806399525',148,179,290.84140617283936,134,134,134,134,134,134,134,134,134,186.12931825863265,1.637663512395822e-05,0.003048171930992722
'C2145337724',151,179,31.68741134751773,140,140,140,140,140,140,140,140,140,33.55185508388751,9.507638191432679e-05,0.003189988987889836
'C96868586',152,179,30.393673469387753,146,146,146,146,146,146,146,146,146,32.71708395161561,9.802138721342402e-05,0.0032069739545154143
'C1143297842',152,179,28.39023972602739,145,145,145,145,145,145,145,145,145,31.509682773649942,0.00011377879127961736,0.0035851336195900714
'C365096731',150,179,34.555186567164185,133,133,133,133,133,133,133,133,133,35.29209147569381,0.00011610715547901855,0.004097664352148127
'C1000148617',149,179,33.9614453125,127,127,127,127,127,127,127,127,127,34.970422772488405,0.00013018685283885159,0.004552689283194372
'C1403935304',143,178,28.398857142857157,104,104,104,104,104,104,104,104,104,32.161229262767286,0.00014587364635660214,0.004691475783870519
'C144168365',152,179,28.958368055555557,143,143,143,143,143,143,143,143,143,31.879311368157918,0.00015325598657428438,0.004885695315035841
'C264736518',147,179,43.63461538461538,116,116,116,116,116,116,116,116,116,40.374955526599805,0.00016891071674055363,0.00681976267636595
'C1058213633',144,179,34.19399038461539,103,103,103,103,103,103,103,103,103,35.21533445878982,0.00020358710156730353,0.007169387873188207
'C339075311',152,179,39.24689285714284,139,139,139,139,139,139,139,139,139,38.075933065730894,0.0002777242581780829,0.01057461026511845
'C1778512686',150,178,31.24469696969697,131,131,131,131,131,131,131,131,131,33.36840835949651,0.0003355798944274598,0.011197766954492207
'C313266037',145,179,30.643714285714296,104,104,104,104,104,104,104,104,104,33.34229461353657,0.00034337662800887516,0.01144896469447467
'C828968085',145,179,60.694953271028,106,106,106,106,106,106,106,106,106,49.268477017651406,0.00023450056005574685,0.011553485453732948
'C1019678929',146,179,35.05357798165139,108,108,108,108,108,108,108,108,108,35.65033859145143,0.0003362455277185916,0.011987266913029057
'C1455309687',124,179,69.02089080459771,57,57,57,57,57,57,57,57,57,48.70222626548926,0.00025379154010634117,0.01236021301052602
'C989321907',148,179,31.154401709401704,116,116,116,116,116,116,116,116,116,33.47038326851927,0.000370852700971653,0.012412582037686795
'C350626061',139,179,31.534764705882345,84,84,84,84,84,84,84,84,84,34.06733212102862,0.00042446682951429165,0.014460452455423408
'C1715139',152,179,29.821874999999995,135,135,135,135,135,135,135,135,135,32.49128029601506,0.0005024451158572172,0.016325085092680606
'C783259685',153,179,28.92978873239437,141,141,141,141,141,141,141,141,141,31.88703360023041,0.0005198496887108455,0.016576464490992048
'C1705927875',133,179,50.14349765258217,70,70,70,70,70,70,70,70,70,42.242561998981586,0.00045218351794982294,0.019101390291913
'C1228110352',151,179,31.06802325581395,128,128,128,128,128,128,128,128,128,33.29513342001104,0.000606720909688071,0.020200853636774794
'C1890075917',149,179,36.4922268907563,118,118,118,118,118,118,118,118,118,36.424139196126376,0.0005816401251596875,0.021185740880868827
'C559852072',139,179,36.20680722891567,82,82,82,82,82,82,82,82,82,36.276959390670456,0.0006692673967721548,0.024278986174203192
'C241463462',152,179,28.71780303030303,131,131,131,131,131,131,131,131,131,31.895055565075154,0.000907398693096611,0.028941531735992985
'C1530773220',153,179,32.690175120772956,137,137,137,137,137,137,137,137,137,34.171657800516286,0.0009170166496426293,0.03133597914896386
'C383709704',149,179,30.81370689655172,115,115,115,115,115,115,115,115,115,33.29372476297601,0.000955562635820062,0.03181423939077703
'C367052603',114,178,47.124810606060606,43,43,43,43,43,43,43,43,43,39.73198616949303,0.0008088986146332296,0.03213914856912955
'C2048667042',148,179,29.39563636363637,109,109,109,109,109,109,109,109,109,32.60448968682034,0.0012324862240415955,0.04018458438091234
'C131423135',148,179,33.26779816513762,108,108,108,108,108,108,108,108,108,34.69401877290483,0.0014622112583812434,0.05072998484823166
'C1108226372',155,179,30.050068027210887,146,146,146,146,146,146,146,146,146,32.50777242473502,0.0016967622840341051,0.0551579621882543
'C1592279480',154,179,36.44809352517985,138,138,138,138,138,138,138,138,138,36.40372834358518,0.0019545163239177415,0.07115168129900419
'C1710387865',151,179,34.50743801652893,120,120,120,120,120,120,120,120,120,35.310109341557926,0.0020673727243687486,0.07299915694721501
'C660475396',155,179,35.1381724137931,144,144,144,144,144,144,144,144,144,35.611201751846316,0.0021986595171235492,0.07829690764790372
'C477892356',145,179,33.51357894736842,94,94,94,94,94,94,94,94,94,34.92351583441632,0.002284528622859581,0.07978377153461388
'C341292164',150,179,40.65336206896553,115,115,115,115,115,115,115,115,115,38.716364271883585,0.0020623376010429012,0.07984621381357948
'C1082769360',154,179,32.35110097323603,136,136,136,136,136,136,136,136,136,33.977327018785324,0.0025613674648289637,0.08702841996777082
'C1706918687',154,179,28.18632352941177,135,135,135,135,135,135,135,135,135,31.525713255360255,0.0029316875474192927,0.092423540974251
'C1927849279',153,179,34.01319230769231,129,129,129,129,129,129,129,129,129,34.99133864539433,0.002838567928545595,0.09932529165569441
'C425397379',131,179,78.60798387096774,61,61,61,61,61,61,61,61,61,53.008639367894524,0.0019431933754950454,0.10300603686369851
'C1726895756',151,179,39.31247899159663,118,118,118,118,118,118,118,118,118,37.99632459417867,0.002805040489894447,0.10658122895384335
'C1575272013',150,179,28.99274336283187,112,112,112,112,112,112,112,112,112,32.338288079174475,0.0033165967748553745,0.10725306194773407
'C728432657',154,179,39.77341911764707,135,135,135,135,135,135,135,135,135,38.36629137112751,0.0029316875474192927,0.11247797865339478
'C1670516684',156,179,31.894897959183673,146,146,146,146,146,146,146,146,146,33.63157351312836,0.004335950160798725,0.14582482658216306
'C985141335',141,179,39.697125000000014,79,79,79,79,79,79,79,79,79,37.87503785827199,0.0040954873777486285,0.15511673948030438
